"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.962824375E0,1.314266968E1,4.547543335E-1,-1.978136444E0,1.329848080E1
1.972898375E0,1.000684067E1,-2.020797729E0,-5.237608337E-1,1.022227025E1
1.982973375E0,7.952063599E0,-3.757186890E0,1.207987976E-1,8.795814979E0
1.993047375E0,7.792944489E0,-4.943619690E0,-1.351689148E-1,9.229714518E0
2.003121375E0,8.482859802E0,-5.359754333E0,-9.665400696E-1,1.008067838E1
2.013195375E0,9.616452484E0,-4.769082642E0,-1.695374451E0,1.086713404E1
2.023270375E0,1.019649628E1,-3.392096100E0,-1.502874756E0,1.085050620E1
2.033344375E0,1.039663010E1,-2.291434937E0,-5.348377991E-1,1.065957987E1
2.043418375E0,1.089075256E1,-2.009870453E0,4.779560852E-1,1.108496787E1
2.053493375E0,1.182570831E1,-2.375260620E0,1.155447235E0,1.211710768E1
2.063567375E0,1.270318359E1,-2.344125366E0,9.099577332E-1,1.294966487E1
2.073641375E0,1.355551117E1,-1.385668488E0,-1.556762695E-2,1.362615876E1
2.083716375E0,1.418749695E1,-4.825964355E-1,-1.654060364E-1,1.419666609E1
2.093790375E0,1.481933304E1,-3.980223083E-1,-2.354603577E-1,1.482654697E1
2.103864375E0,1.505658966E1,-6.577322388E-1,-8.876541138E-2,1.507121041E1
2.113939375E0,1.510763351E1,-1.324146423E0,8.577163696E-2,1.516579411E1
2.124013375E0,1.464135315E1,-2.313139801E0,1.603166199E-1,1.482381662E1
2.134088167E0,1.340597214E1,-3.231480103E0,3.363505554E-1,1.379404525E1
2.144163167E0,1.226279938E1,-4.074377289E0,4.701722717E-1,1.293050118E1
2.154237167E0,1.106499023E1,-5.334307251E0,1.111438751E0,1.233386147E1
2.164311167E0,9.194180603E0,-6.912475433E0,2.217638397E0,1.171465721E1
2.174385167E0,7.105124817E0,-8.237220612E0,3.359164581E0,1.138501598E1
2.184460167E0,5.171445923E0,-9.194779358E0,4.345014496E0,1.140907408E1
2.194534167E0,4.906646576E0,-8.842711487E0,3.838767242E0,1.081687852E1
2.204608167E0,4.618196411E0,-8.171806641E0,4.074976044E0,1.023286820E1
2.214683167E0,2.031126251E0,-9.075178070E0,5.704038391E0,1.090964641E1
2.224757167E0,4.077520752E-1,-9.437574463E0,5.356161804E0,1.085921465E1
2.234831167E0,-8.681945801E-3,-7.902816010E0,3.108735352E0,8.492279537E0
2.244906167E0,-3.546724548E0,-9.386979675E0,-1.946252747E0,1.022167023E1
2.254980167E0,-2.011816406E0,-9.674531708E0,-2.594404907E0,1.021640376E1
2.265054167E0,5.803132324E0,-6.998995514E0,1.219364319E0,9.173283617E0
2.275129167E0,1.064735870E1,-6.270460510E0,1.824106750E0,1.249048789E1
2.285203167E0,1.095197525E1,-7.049739990E0,1.882036285E0,1.316004014E1
2.295277167E0,8.555458832E0,-1.136002670E1,2.832559662E0,1.450067160E1
2.305351167E0,3.941902771E0,-1.523546768E1,-2.622396698E0,1.595415424E1
2.315426167E0,5.424120483E0,-1.294478119E1,-3.457659760E0,1.445489032E1
2.325500167E0,7.490423584E0,-9.951156464E0,-2.481689301E0,1.270002922E1
2.335574167E0,7.990832977E0,-9.340127106E0,-2.368973694E0,1.251812376E1
2.345649167E0,6.532266083E0,-9.679022369E0,-3.347488861E0,1.214741355E1
2.355723167E0,4.470753021E0,-9.710906067E0,-4.039499817E0,1.142833706E1
2.365797167E0,3.908073120E0,-8.688532104E0,-4.114344177E0,1.037744928E1
2.375872167E0,3.915707245E0,-6.971901855E0,-2.744842072E0,8.454249624E0
2.385946167E0,3.492387543E0,-5.440137177E0,-4.836442566E-1,6.482728979E0
