"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.546211583E0,8.806187439E-1,-1.093281509E1,3.043471069E0,1.138264694E1
1.556231583E0,-6.936575317E-1,-1.596011078E1,2.547252960E0,1.617698348E1
1.566252583E0,-2.165846100E0,-2.151715485E1,2.515369263E0,2.177167712E1
1.576273583E0,-1.687590637E0,-2.728840347E1,3.711232452E0,2.759126986E1
1.586294583E0,-1.129700775E0,-3.061733093E1,4.756508789E0,3.100518591E1
1.596315583E0,-9.545649719E-1,-3.169479034E1,4.567002869E0,3.203636129E1
1.606336583E0,7.782316589E-1,-2.971695328E1,3.244952087E0,2.990372336E1
1.616357583E0,2.794538727E0,-2.515324356E1,1.933379517E0,2.538174668E1
1.626378583E0,2.256108398E0,-1.840243195E1,1.558858337E0,1.860563264E1
1.636398583E0,1.068777466E0,-1.335028793E1,1.420396271E0,1.346811044E1
1.646419583E0,-4.008663940E-1,-8.934770050E0,3.514541473E0,9.609516714E0
1.656440583E0,-1.650467834E0,-5.609285431E0,3.782783661E0,6.964020343E0
1.666461583E0,-3.712280273E-1,-6.311026154E0,5.498066711E-1,6.345797723E0
1.676482583E0,2.588117981E-1,-6.846013641E0,-1.128652954E0,6.943251674E0
1.686503583E0,-2.226470032E0,-6.960824890E0,-1.296828232E1,1.488578511E1
1.696524583E0,-6.199358368E0,-8.659342804E0,-2.849848709E1,3.042334677E1
1.706545583E0,-1.651815033E0,-1.153142029E1,-1.848176697E1,2.184668984E1
1.716566583E0,4.575984192E-1,-1.297202454E1,-1.320059921E1,1.851320168E1
1.726586583E0,7.021897888E-1,-1.283880157E1,-6.954987030E0,1.461847259E1
1.736607583E0,2.266287231E-1,-1.215412537E1,-2.685715027E0,1.244938509E1
1.746628583E0,-1.550775146E-1,-1.158111694E1,-9.003776550E-1,1.161709941E1
1.756649583E0,-2.546205139E-1,-1.118533997E1,-2.392025757E-1,1.119079441E1
1.766670583E0,-1.037342834E-1,-1.085812042E1,5.287005615E-1,1.087147939E1
1.776691583E0,2.357597351E-1,-1.045500870E1,1.401236115E0,1.055112564E1
1.786712583E0,9.211843872E-1,-1.002375549E1,2.069745941E0,1.027658032E1
1.796733583E0,1.776356049E0,-9.987381134E0,2.320324860E0,1.040611023E1
1.806753583E0,2.834355927E0,-1.062310913E1,2.291135559E0,1.123090928E1
1.816774583E0,3.851939850E0,-1.178693893E1,2.051633606E0,1.256895264E1
1.826795583E0,4.554429016E0,-1.415366730E1,-4.213288422E0,1.545383192E1
1.836816583E0,1.832189941E0,-1.663131500E1,-1.733799545E1,2.409488836E1
1.846837583E0,-1.301543427E0,-1.551014648E1,-8.814420319E0,1.788722071E1
1.856858583E0,-2.211800537E0,-1.463566498E1,-3.247796173E0,1.515397410E1
1.866879583E0,-3.439996490E0,-1.421069870E1,-2.874023438E-2,1.462116136E1
1.876899583E0,-4.281696167E0,-1.394949188E1,7.688012695E-1,1.461206013E1
1.886920583E0,-4.449347534E0,-1.374666367E1,1.766027527E0,1.455631508E1
1.896941583E0,-4.256548462E0,-1.364562378E1,2.751877441E0,1.455658211E1
1.906962583E0,-3.679049377E0,-1.384620667E1,3.191662903E0,1.467785936E1
1.916983583E0,-3.113675079E0,-1.405681870E1,3.428470459E0,1.480011939E1
1.927004583E0,-2.731968842E0,-1.386252274E1,4.129013672E0,1.472012039E1
1.937025583E0,-2.729573822E0,-1.313758026E1,5.144501953E0,1.437054239E1
1.947046583E0,-2.542762299E0,-1.191103088E1,5.433850250E0,1.333660472E1
1.957066583E0,-1.956132202E0,-1.037178177E1,5.405559082E0,1.185834640E1
1.967087583E0,-1.579515381E0,-8.931626587E0,5.677393799E0,1.070054310E1
1.977108583E0,-6.966513062E-1,-7.515870667E0,5.532046051E0,9.358267384E0
1.987129583E0,-1.740879822E-1,-6.324647827E0,4.836741943E0,7.964015908E0
1.997150583E0,2.134561157E-1,-5.563630371E0,4.470902710E0,7.140624445E0
2.007171583E0,5.285508728E-1,-5.224286041E0,4.070036316E0,6.643622978E0
2.017192583E0,6.643185425E-1,-5.238656158E0,3.536096649E0,6.355219665E0
2.027213583E0,1.138981476E0,-5.392685852E0,2.758463745E0,6.163396931E0
2.037233583E0,1.839075623E0,-5.480553131E0,1.286424866E0,5.922292690E0
2.047254583E0,2.536325684E0,-5.460644531E0,-1.565744019E-1,6.022964570E0
2.057275583E0,2.829715576E0,-5.415139160E0,-8.393046570E-1,6.167289086E0
2.067296583E0,2.748135223E0,-5.572761383E0,-1.094972992E0,6.309269569E0
2.077317583E0,2.348017273E0,-5.980962524E0,-8.405021667E-1,6.480088095E0
2.087338583E0,1.518891449E0,-6.633156281E0,-1.246907043E-1,6.805978346E0
2.097359583E0,5.057981873E-1,-7.271129608E0,7.710466003E-1,7.329370399E0
2.107380583E0,-2.124082947E-1,-7.838749237E0,1.539698181E0,7.991356416E0
2.117400583E0,-6.968009949E-1,-8.350834351E0,2.195783844E0,8.662761261E0
2.127421583E0,-1.045575714E0,-8.699160004E0,2.552042999E0,9.125871839E0
2.137442583E0,-1.273851013E0,-8.890911255E0,2.642005920E0,9.362221672E0
2.147463583E0,-1.385518799E0,-8.830137634E0,2.474354553E0,9.274342210E0
2.157484583E0,-1.488804016E0,-8.634793854E0,2.075583801E0,9.004679362E0
2.167505583E0,-1.663041687E0,-8.318800964E0,1.599124603E0,8.632806996E0
2.177526583E0,-1.867666168E0,-8.037685547E0,1.272503815E0,8.349361163E0
2.187547583E0,-2.080972595E0,-8.075407104E0,9.580078125E-1,8.394070873E0
2.197567583E0,-2.260149994E0,-8.427774353E0,8.321195984E-1,8.765162952E0
2.207588583E0,-2.376757507E0,-9.051976318E0,9.891430664E-1,9.410932766E0
2.217609583E0,-2.536774750E0,-9.963880005E0,1.119671631E0,1.034252365E1
2.227630583E0,-2.878214722E0,-1.117022141E1,1.053359528E0,1.158307094E1
2.237651583E0,-3.313210144E0,-1.282877243E1,1.826202393E-1,1.325096652E1
2.247672583E0,-5.528902588E0,-1.549847076E1,-1.368319565E1,2.140096267E1
2.257693583E0,-7.264842682E0,-1.736748413E1,-2.381023636E1,3.035349732E1
2.267714583E0,-4.386328583E0,-1.576731171E1,-7.488178253E0,1.799780016E1
2.277734583E0,-2.188449097E0,-1.404813675E1,-2.555934906E0,1.444549268E1
2.287755583E0,-1.171613617E0,-1.278087204E1,-1.072220306E0,1.287917020E1
2.297776583E0,-8.187973022E-1,-1.133023865E1,-8.158035278E-2,1.136007888E1
2.307797583E0,-1.390308838E0,-1.049063461E1,2.225871277E-1,1.058470209E1
2.317818583E0,-2.137105865E0,-1.045455963E1,4.132905579E-1,1.067875684E1
2.327839583E0,-2.569855957E0,-1.079749649E1,1.012344818E0,1.114517528E1
2.337860583E0,-2.969524841E0,-1.119551880E1,1.772314453E0,1.171745781E1
2.347881583E0,-3.040177917E0,-1.095032867E1,2.042801971E0,1.154666271E1
2.357901583E0,-3.067271576E0,-1.028226791E1,2.131118317E0,1.093960025E1
2.367922583E0,-3.320095825E0,-9.603429565E0,2.152224426E0,1.038657623E1
2.377943583E0,-3.375929718E0,-8.868757324E0,2.015858002E0,9.701311325E0
2.387964583E0,-3.126997375E0,-8.149652710E0,1.768272858E0,8.906275359E0
2.397985583E0,-2.711461487E0,-7.627239075E0,1.638642426E0,8.259052506E0
2.408006583E0,-2.124981079E0,-7.288044434E0,1.604663086E0,7.759257688E0
2.418027583E0,-1.519639893E0,-7.229067078E0,1.509760437E0,7.539767423E0
2.428047583E0,-1.060394897E0,-7.572752380E0,1.673370209E0,7.827591188E0
2.438068583E0,-7.946974182E-1,-8.224497070E0,2.027683411E0,8.507960746E0
2.448089583E0,-5.565426636E-1,-8.968150635E0,2.450853424E0,9.313653851E0
2.458110583E0,-2.341131592E-1,-9.729467468E0,2.822081451E0,1.013318755E1
2.468131583E0,9.145980835E-2,-1.047132477E1,3.152743835E0,1.093603223E1
2.478152583E0,5.760021973E-1,-1.113354767E1,3.429368591E0,1.166397150E1
2.488173583E0,1.082548828E0,-1.158575729E1,3.525917816E0,1.215869156E1
2.498194583E0,1.548978882E0,-1.174906769E1,3.288960571E0,1.229866614E1
2.508214583E0,1.759291534E0,-1.165221909E1,2.793640594E0,1.211089361E1
2.518235583E0,1.538201294E0,-1.138741974E1,2.262245636E0,1.171141097E1
2.528256583E0,1.090332642E0,-1.104403381E1,1.782942352E0,1.124003521E1
2.538277583E0,8.012837219E-1,-1.078537170E1,1.459315338E0,1.091310678E1
2.548298583E0,5.899232483E-1,-1.071142548E1,1.307980042E0,1.080710215E1
2.558319583E0,4.144880676E-1,-1.085333038E1,1.262324982E0,1.093435161E1
2.568340583E0,2.582130432E-1,-1.109986771E1,1.196162567E0,1.116711879E1
2.578361583E0,2.320175171E-2,-1.124970612E1,1.073866882E0,1.130086794E1
2.588381583E0,-2.492317200E-1,-1.113399673E1,9.879455566E-1,1.118052039E1
2.598402583E0,-4.884342957E-1,-1.073582474E1,8.807684326E-1,1.078296128E1
2.608423583E0,-7.042854309E-1,-1.017583923E1,7.676037598E-1,1.022902427E1
2.618444583E0,-9.547146606E-1,-9.579179993E0,6.688092041E-1,9.649843272E0
2.628465583E0,-1.252744904E0,-9.084159393E0,5.439688110E-1,9.186251888E0
2.638486583E0,-1.550924835E0,-8.780440979E0,2.770738220E-1,8.920665980E0
2.648507583E0,-1.738933868E0,-8.621621246E0,-6.256988525E-2,8.795462404E0
2.658528583E0,-1.741628265E0,-8.539741516E0,-3.134481812E-1,8.721164139E0
2.668548583E0,-1.571282501E0,-8.437803497E0,-4.471202087E-1,8.594496672E0
2.678569583E0,-1.302740936E0,-8.335117035E0,-4.477189636E-1,8.448181000E0
2.688590583E0,-9.382489014E-1,-8.382418671E0,-3.531156921E-1,8.442152833E0
2.698611583E0,-6.325845337E-1,-8.686586151E0,-2.134561157E-1,8.712204409E0
2.708632583E0,-4.577481079E-1,-9.155411224E0,-1.437011719E-2,9.166858487E0
2.718653583E0,-3.504212952E-1,-9.705816650E0,2.326162720E-1,9.714925747E0
2.728674583E0,-3.118016052E-1,-1.025966492E1,5.001100159E-1,1.027657796E1
2.738694583E0,-3.159928894E-1,-1.075468552E1,8.274792480E-1,1.079109976E1
2.748715583E0,-3.406915283E-1,-1.106828339E1,1.269510040E0,1.114605866E1
2.758736583E0,-4.831951904E-1,-1.113893646E1,1.798060913E0,1.129346741E1
2.768757583E0,-6.689588928E-1,-1.093521011E1,2.273921356E0,1.118914852E1
2.778778583E0,-8.360115051E-1,-1.047910858E1,2.581381989E0,1.082470161E1
2.788799583E0,-1.018781433E0,-9.998757477E0,2.689457245E0,1.040414566E1
2.798820583E0,-1.266366577E0,-9.680219879E0,2.731070709E0,1.013750899E1
2.808841583E0,-1.526675262E0,-9.552535400E0,2.663112030E0,1.003363521E1
2.818861583E0,-1.752405853E0,-9.491163025E0,2.463127899E0,9.960928716E0
2.828882583E0,-1.811981964E0,-9.418414307E0,2.310744781E0,9.865563752E0
2.838903583E0,-1.766626282E0,-9.415570221E0,2.247276764E0,9.839928041E0
2.848924583E0,-1.709295502E0,-9.391170959E0,2.241139526E0,9.805023686E0
2.858945583E0,-1.625020752E0,-9.342522125E0,2.299667816E0,9.757657719E0
2.868966583E0,-1.600022736E0,-9.331145782E0,2.408641205E0,9.768925572E0
2.878987583E0,-1.599873047E0,-9.306746521E0,2.590812378E0,9.792212893E0
2.889008583E0,-1.532662811E0,-9.264234924E0,2.804118805E0,9.799907464E0
2.899028583E0,-1.340911560E0,-9.172775116E0,3.018772430E0,9.749401732E0
2.909049583E0,-1.056952057E0,-9.087003479E0,3.191064148E0,9.688842566E0
2.919070583E0,-7.673043823E-1,-9.057963867E0,3.262166290E0,9.658011925E0
2.929091583E0,-5.231620789E-1,-9.156908112E0,3.169658661E0,9.704091959E0
2.939112583E0,-3.707789612E-1,-9.379345551E0,2.894979858E0,9.822958229E0
2.949133583E0,-2.544708252E-1,-9.615554352E0,2.555336151E0,9.952556643E0
2.959154583E0,-1.109193420E-1,-9.839039612E0,2.247276764E0,1.009303009E1
2.969174583E0,4.954696655E-2,-1.002435425E1,1.974843292E0,1.021714926E1
2.979195583E0,1.830693054E-1,-1.013811768E1,1.755699005E0,1.029064737E1
2.989216583E0,2.999761963E-1,-1.016491196E1,1.580862579E0,1.029147935E1
2.999237583E0,3.373983765E-1,-1.011117371E1,1.431622925E0,1.021759343E1
3.009258583E0,3.255729675E-1,-1.000354752E1,1.283730469E0,1.009083369E1
3.019279583E0,2.803669739E-1,-9.884844360E0,1.150507507E0,9.955522146E0
3.029300583E0,1.996847534E-1,-9.796977081E0,1.036893768E0,9.853719228E0
3.039321583E0,1.011895752E-1,-9.772428131E0,9.604028320E-1,9.820028743E0
3.049341583E0,-4.490661621E-4,-9.790390778E0,8.951385498E-1,9.831227024E0
3.059362583E0,-6.691085815E-2,-9.833201752E0,8.393046570E-1,9.869182644E0
3.069383583E0,-1.348695374E-1,-9.859097900E0,7.638615417E-1,9.889564483E0
3.079404583E0,-1.727407837E-1,-9.827064514E0,7.174580383E-1,9.854734009E0
3.089425583E0,-2.131567383E-1,-9.734856262E0,6.792874146E-1,9.760855169E0
3.099446583E0,-2.372566223E-1,-9.599537659E0,6.529421997E-1,9.624642720E0
3.109467583E0,-2.755769348E-1,-9.465566254E0,6.354286194E-1,9.490872282E0
3.119488583E0,-3.429368591E-1,-9.395960999E0,6.707551575E-1,9.426112733E0
3.129508583E0,-4.070036316E-1,-9.433532867E0,7.165599060E-1,9.469458929E0
3.139529583E0,-4.421804810E-1,-9.571695557E0,7.756869507E-1,9.613249693E0
3.149550583E0,-4.099974060E-1,-9.734556885E0,8.023315430E-1,9.776166504E0
3.159571583E0,-3.770658875E-1,-9.785900116E0,8.518785095E-1,9.830143273E0
3.169592583E0,-3.616479492E-1,-9.755513306E0,9.193881226E-1,9.805411955E0
3.179613583E0,-3.608995056E-1,-9.710756378E0,1.000669098E0,9.768847247E0
3.189634583E0,-3.129991150E-1,-9.658964081E0,1.099313965E0,9.726358350E0
3.199654583E0,-2.299218750E-1,-9.615254974E0,1.191073151E0,9.691472929E0
3.209675583E0,-1.402583313E-1,-9.590556335E0,1.275048523E0,9.675959485E0
