"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.229627375E0,-1.994452515E0,-5.650150452E0,-4.505630493E-2,5.992000587E0
2.239665375E0,-2.941233673E0,-6.043831787E0,-3.510200500E-1,6.730674057E0
2.249703375E0,-3.775598602E0,-7.298073578E0,4.110452271E-1,8.227149016E0
2.259741375E0,-4.231700134E0,-9.372759247E0,3.302731934E0,1.080110828E1
2.269779375E0,-4.554878082E0,-1.178155014E1,6.108347626E0,1.403081426E1
2.279817375E0,-3.083587646E0,-1.012674133E1,4.044589233E0,1.133217123E1
2.289856375E0,-1.967059479E0,-8.766819305E0,2.991379395E0,9.469677630E0
2.299894375E0,-1.541344757E0,-9.066645813E0,3.216960297E0,9.743133146E0
2.309932375E0,-1.654060364E0,-1.041010208E1,4.567302246E0,1.148766255E1
2.319970375E0,-3.970493317E0,-1.383228561E1,8.823850708E0,1.688067782E1
2.330008375E0,-5.694458313E0,-1.529504379E1,1.093236603E1,1.964387556E1
2.340046375E0,-4.794080658E0,-1.542452454E1,9.715396729E0,1.884908751E1
2.350084375E0,-2.349364471E0,-1.396446075E1,7.140900421E0,1.585932333E1
2.360123375E0,-5.487588501E-1,-1.250319946E1,5.539829865E0,1.368652067E1
2.370161375E0,1.924996948E-1,-1.119866226E1,4.163292389E0,1.194906256E1
2.380199375E0,5.700146484E-1,-1.001148102E1,2.707120514E0,1.038668236E1
2.390237375E0,9.547146606E-1,-8.756041718E0,1.514999542E0,8.937279802E0
2.400275375E0,1.195563812E0,-8.016878815E0,6.927593994E-1,8.135086622E0
2.410313375E0,1.237626343E0,-7.436236267E0,-1.437011719E-2,7.538536681E0
2.420351375E0,1.168470154E0,-6.895710297E0,-6.271957397E-1,7.022073589E0
2.430390375E0,1.174607391E0,-6.595734100E0,-8.822653198E-1,6.757351770E0
2.440428375E0,1.135388947E0,-6.594087524E0,-3.586541748E-1,6.700726166E0
2.450466375E0,1.024170227E0,-6.932533722E0,4.622387695E-1,7.023005990E0
2.460504375E0,1.049018555E0,-7.029382324E0,7.857160950E-1,7.150524846E0
2.470542375E0,7.571255493E-1,-6.490053864E0,1.272503815E0,6.656823883E0
2.480580375E0,1.249900818E-1,-6.006409607E0,2.143841858E0,6.378764520E0
2.490618375E0,-4.710704041E-1,-5.895041199E0,2.684517517E0,6.494617183E0
2.500657375E0,-9.529183960E-1,-5.644013214E0,2.983745270E0,6.454895388E0
2.510695375E0,-1.652264099E0,-5.296286316E0,3.398981781E0,6.506435471E0
2.520733375E0,-2.837798767E0,-5.147795105E0,3.997886353E0,7.108867109E0
2.530771375E0,-4.332889709E0,-5.084327087E0,4.800217896E0,8.225959337E0
2.540809375E0,-5.641767883E0,-5.013224945E0,5.928571472E0,9.597391776E0
2.550847375E0,-6.597380676E0,-5.110672302E0,7.006330261E0,1.089647039E1
2.560885375E0,-7.215146027E0,-5.337600403E0,8.220605164E0,1.217072962E1
2.570924375E0,-7.542964325E0,-5.898034973E0,9.762698364E0,1.367455325E1
2.580962375E0,-6.634204102E0,-6.830146637E0,1.153231842E1,1.495519760E1
2.591000375E0,-5.477259979E0,-8.400381317E0,1.307800415E1,1.648032086E1
2.601038375E0,-5.413342896E0,-1.087114334E1,1.370774460E1,1.831360972E1
2.611076375E0,-6.056106262E0,-1.306513092E1,1.270737488E1,1.920550560E1
2.621113875E0,-6.474037170E0,-1.516301834E1,1.203527252E1,2.041269378E1
2.631151875E0,-6.192921753E0,-1.619317612E1,9.954898682E0,1.999177932E1
2.641190875E0,-5.816005554E0,-1.496333359E1,6.951394501E0,1.749426072E1
2.651228875E0,-5.217999115E0,-1.179382462E1,4.581672363E0,1.368625352E1
2.661266875E0,-4.656067657E0,-8.688532104E0,2.942880249E0,1.028737577E1
2.671304875E0,-4.346960449E0,-6.790479126E0,2.072889404E0,8.324874917E0
2.681342875E0,-3.784280548E0,-5.826184387E0,8.860075378E-1,7.003585734E0
2.691380875E0,-2.603685608E0,-6.072721710E0,3.832031250E-1,6.618456946E0
2.701418875E0,-1.265318756E0,-7.611671448E0,2.585722961E0,8.137845969E0
2.711457875E0,5.574407959E-1,-9.607920227E0,3.313958588E0,1.017866361E1
2.721495875E0,2.255210266E0,-1.175580368E1,3.424129486E0,1.245028338E1
2.731533875E0,2.960543518E0,-1.382719620E1,3.199446716E0,1.449802165E1
2.741571875E0,2.089205475E0,-1.581835556E1,3.559448090E0,1.634793023E1
2.751609875E0,5.468128967E-1,-1.652937698E1,4.039200439E0,1.702452490E1
2.761647875E0,-6.870712280E-2,-1.529639099E1,3.398083649E0,1.566943747E1
2.771686875E0,5.405259705E-1,-1.291184967E1,2.375260620E0,1.313963064E1
2.781724875E0,2.155068512E0,-9.963281250E0,1.485211487E0,1.030131772E1
2.791762875E0,3.979624329E0,-7.864046631E0,1.365759888E0,8.918853025E0
2.801800875E0,4.785997467E0,-6.841822357E0,2.121238861E0,8.614868497E0
2.811838875E0,4.117188263E0,-6.886130219E0,3.107388153E0,8.603829944E0
2.821876875E0,2.586770782E0,-7.914192352E0,3.974983978E0,9.226392648E0
2.831914875E0,8.397537231E-1,-8.880732422E0,4.900808716E0,1.017794285E1
2.841952875E0,-2.498304749E-1,-1.010084518E1,5.239404602E0,1.138160135E1
2.851991875E0,-4.406835938E-1,-1.128233826E1,4.522695007E0,1.216306412E1
2.862029875E0,-2.145039368E-1,-1.229647934E1,3.091072083E0,1.268085733E1
2.872067875E0,1.124162292E-1,-1.290601181E1,1.942360840E0,1.305184063E1
2.882105875E0,1.627116394E-1,-1.276365784E1,1.280587006E0,1.282876999E1
2.892143875E0,4.754113770E-1,-1.200458633E1,1.360221405E0,1.209075313E1
2.902181875E0,1.059347076E0,-1.095826218E1,1.939516754E0,1.117888417E1
2.912220875E0,1.349593506E0,-9.880204010E0,2.747087402E0,1.034341931E1
2.922258875E0,1.549427948E0,-9.027577057E0,3.569177856E0,9.830407166E0
2.932296875E0,1.651665344E0,-8.326285400E0,4.538562012E0,9.625672554E0
2.942334875E0,1.486109619E0,-7.731422424E0,5.222639465E0,9.447718110E0
2.952372875E0,1.114582214E0,-7.259902954E0,4.836143188E0,8.794132439E0
